evaluation 2060: speed 0.173077, force 0.0651 N, moment 0.0170 Nm, torque margin -0.0081 Nm, penetration 0.000080 m
evaluation 2070: speed 0.173077, force 0.0652 N, moment 0.0169 Nm, torque margin -0.0081 Nm, penetration 0.000080 m
evaluation 2080: speed 0.173077, force 0.0651 N, moment 0.0168 Nm, torque margin -0.0081 Nm, penetration 0.000080 m
evaluation 2090: speed 0.173077, force 0.0651 N, moment 0.0171 Nm, torque margin -0.0082 Nm, penetration 0.000080 m
evaluation 2100: speed 0.173077, force 0.0656 N, moment 0.0169 Nm, torque margin -0.0081 Nm, penetration 0.000080 m
evaluation 2110: speed 0.173077, force 0.0651 N, moment 0.0169 Nm, torque margin -0.0081 Nm, penetration 0.000080 m
evaluation 2120: speed 0.173077, force 0.0652 N, moment 0.0169 Nm, torque margin -0.0081 Nm, penetration 0.000080 m
evaluation 2130: speed 0.173077, force 0.0651 N, moment 0.0169 Nm, torque margin -0.0077 Nm, penetration 0.000080 m
evaluation 2140: speed 0.181802, force 0.0664 N, moment 0.0212 Nm, torque margin -0.0379 Nm, penetration 0.000074 m
evaluation 2150: speed 0.181786, force 0.0663 N, moment 0.0211 Nm, torque margin -0.0378 Nm, penetration 0.000074 m
evaluation 2160: speed 0.181786, force 0.0664 N, moment 0.0212 Nm, torque margin -0.0379 Nm, penetration 0.000074 m
evaluation 2170: speed 0.181786, force 0.0662 N, moment 0.0211 Nm, torque margin -0.0380 Nm, penetration 0.000074 m
evaluation 2180: speed 0.181786, force 0.0663 N, moment 0.0211 Nm, torque margin -0.0379 Nm, penetration 0.000074 m
evaluation 2190: speed 0.181786, force 0.0664 N, moment 0.0211 Nm, torque margin -0.0379 Nm, penetration 0.000074 m
evaluation 2200: speed 0.181786, force 0.0664 N, moment 0.0212 Nm, torque margin -0.0377 Nm, penetration 0.000074 m
evaluation 2210: speed 0.181786, force 0.0664 N, moment 0.0212 Nm, torque margin -0.0379 Nm, penetration 0.000074 m
evaluation 2220: speed 0.181786, force 0.0664 N, moment 0.0212 Nm, torque margin -0.0379 Nm, penetration 0.000074 m
evaluation 2230: speed 0.181786, force 0.0663 N, moment 0.0211 Nm, torque margin -0.0379 Nm, penetration 0.000074 m
evaluation 2240: speed 0.181786, force 0.0664 N, moment 0.0211 Nm, torque margin -0.0377 Nm, penetration 0.000074 m
evaluation 2250: speed 0.181816, force 0.0672 N, moment 0.0216 Nm, torque margin -0.0167 Nm, penetration 0.000073 m
evaluation 2260: speed 0.181816, force 0.0671 N, moment 0.0216 Nm, torque margin -0.0166 Nm, penetration 0.000073 m
evaluation 2270: speed 0.181816, force 0.0670 N, moment 0.0215 Nm, torque margin -0.0166 Nm, penetration 0.000073 m
