evaluation 1620: speed 0.025000, force 0.4297 N, moment 0.1990 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1630: speed 0.025000, force 0.4211 N, moment 0.1990 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1640: speed 0.025000, force 0.4211 N, moment 0.1990 Nm, torque 0.3697 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1650: speed 0.025000, force 0.4211 N, moment 0.1991 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1660: speed 0.025000, force 0.4211 N, moment 0.1990 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1670: speed 0.025000, force 0.2812 N, moment 0.0955 Nm, torque 0.3714 Nm, cone 0.4504 N, maximum constraint 9.008476, feasible false
evaluation 1680: speed 0.025000, force 0.2812 N, moment 0.0956 Nm, torque 0.3714 Nm, cone 0.4504 N, maximum constraint 9.008476, feasible false
evaluation 1690: speed 0.025000, force 0.2779 N, moment 0.0951 Nm, torque 0.3699 Nm, cone 0.4504 N, maximum constraint 9.008476, feasible false
evaluation 1700: speed 0.025000, force 0.2812 N, moment 0.0955 Nm, torque 0.3714 Nm, cone 0.4504 N, maximum constraint 9.008476, feasible false
evaluation 1710: speed 0.025000, force 0.2812 N, moment 0.0955 Nm, torque 0.3714 Nm, cone 0.4504 N, maximum constraint 9.008476, feasible false
evaluation 1720: speed 0.025000, force 0.2812 N, moment 0.0955 Nm, torque 0.3713 Nm, cone 0.4504 N, maximum constraint 9.008476, feasible false
evaluation 1730: speed 0.025000, force 0.2812 N, moment 0.0955 Nm, torque 0.3714 Nm, cone 0.4504 N, maximum constraint 9.008476, feasible false
evaluation 1740: speed 0.025000, force 0.2812 N, moment 0.0955 Nm, torque 0.3714 Nm, cone 0.4504 N, maximum constraint 9.008476, feasible false
evaluation 1750: speed 0.025000, force 0.2812 N, moment 0.0954 Nm, torque 0.3714 Nm, cone 0.4504 N, maximum constraint 9.008476, feasible false
