valid report 1860: speed 0.186434, force 9.379111 N, moment 2.298624 Nm, torque -0.048987 Nm, maximum inequality 186.582215, feasible false
valid report 1870: speed 0.186434, force 9.379111 N, moment 2.298624 Nm, torque -0.048985 Nm, maximum inequality 186.582215, feasible false
valid report 1880: speed 0.186434, force 9.379111 N, moment 2.298624 Nm, torque -0.048985 Nm, maximum inequality 186.582215, feasible false
valid report 1890: speed 0.186434, force 9.379111 N, moment 2.298624 Nm, torque -0.048985 Nm, maximum inequality 186.582215, feasible false
valid report 1900: speed 0.186434, force 9.379114 N, moment 2.298627 Nm, torque -0.048985 Nm, maximum inequality 186.582290, feasible false
valid report 1910: speed 0.186434, force 9.379114 N, moment 2.298620 Nm, torque -0.048985 Nm, maximum inequality 186.582289, feasible false
valid report 1920: speed 0.186449, force 9.378649 N, moment 2.298504 Nm, torque -0.048982 Nm, maximum inequality 186.572984, feasible false
valid report 1930: speed 0.186429, force 9.378916 N, moment 2.298557 Nm, torque -0.048983 Nm, maximum inequality 186.578313, feasible false
valid report 1940: speed 0.186429, force 9.378905 N, moment 2.298565 Nm, torque -0.048983 Nm, maximum inequality 186.578108, feasible false
valid report 1950: speed 0.186429, force 9.379301 N, moment 2.298330 Nm, torque -0.048983 Nm, maximum inequality 186.586029, feasible false
valid report 1960: speed 0.186429, force 9.378916 N, moment 2.298557 Nm, torque -0.048983 Nm, maximum inequality 186.578313, feasible false
valid report 1970: speed 0.186429, force 9.378900 N, moment 2.298750 Nm, torque -0.048985 Nm, maximum inequality 186.578008, feasible false
valid report 1980: speed 0.186429, force 9.378915 N, moment 2.298487 Nm, torque -0.048983 Nm, maximum inequality 186.578305, feasible false
valid report 1990: speed 0.186429, force 9.378930 N, moment 2.298557 Nm, torque -0.048983 Nm, maximum inequality 186.578592, feasible false
valid report 2000: speed 0.186429, force 9.378928 N, moment 2.298561 Nm, torque -0.048983 Nm, maximum inequality 186.578563, feasible false
valid report 2010: speed 0.186429, force 9.378904 N, moment 2.298557 Nm, torque -0.048986 Nm, maximum inequality 186.578072, feasible false
valid report 2020: speed 0.186429, force 9.378916 N, moment 2.298557 Nm, torque -0.048983 Nm, maximum inequality 186.578313, feasible false
valid report 2030: speed 0.186429, force 9.378916 N, moment 2.298557 Nm, torque -0.048983 Nm, maximum inequality 186.578313, feasible false
