evaluation 1710: speed 0.053603, force 1.0540 N, moment 0.5225 Nm, torque -0.1794 Nm, cone 4.7432 N, maximum constraint 94.863853, feasible false
evaluation 1720: speed 0.053603, force 1.0538 N, moment 0.5226 Nm, torque -0.1796 Nm, cone 4.7432 N, maximum constraint 94.863853, feasible false
evaluation 1730: speed 0.053603, force 1.0542 N, moment 0.5224 Nm, torque -0.1794 Nm, cone 4.7432 N, maximum constraint 94.863853, feasible false
evaluation 1740: speed 0.053603, force 1.0542 N, moment 0.5225 Nm, torque -0.1794 Nm, cone 4.7432 N, maximum constraint 94.863853, feasible false
evaluation 1750: speed 0.053603, force 1.0543 N, moment 0.5225 Nm, torque -0.1794 Nm, cone 4.7432 N, maximum constraint 94.863853, feasible false
evaluation 1760: speed 0.053603, force 1.0543 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.863853, feasible false
evaluation 1770: speed 0.053603, force 1.0542 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.863853, feasible false
evaluation 1780: speed 0.053603, force 1.0540 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.863853, feasible false
evaluation 1790: speed 0.053562, force 1.0543 N, moment 0.5225 Nm, torque -0.1794 Nm, cone 4.7431 N, maximum constraint 94.862916, feasible false
evaluation 1800: speed 0.053593, force 1.0542 N, moment 0.5225 Nm, torque -0.1794 Nm, cone 4.7431 N, maximum constraint 94.862916, feasible false
evaluation 1810: speed 0.053593, force 1.0544 N, moment 0.5221 Nm, torque -0.1794 Nm, cone 4.7431 N, maximum constraint 94.862916, feasible false
evaluation 1820: speed 0.053593, force 1.0540 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7431 N, maximum constraint 94.862916, feasible false
evaluation 1830: speed 0.053593, force 1.0542 N, moment 0.5225 Nm, torque -0.1794 Nm, cone 4.7431 N, maximum constraint 94.862916, feasible false
evaluation 1840: speed 0.053593, force 1.0542 N, moment 0.5225 Nm, torque -0.1794 Nm, cone 4.7431 N, maximum constraint 94.862916, feasible false
