evaluation 1680: speed 0.025000, force 0.4028 N, moment 0.0849 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1690: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1700: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1710: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1720: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1730: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1740: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1750: speed 0.025000, force 0.3846 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1760: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1770: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1780: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1790: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1800: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1810: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1820: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1830: speed 0.025000, force 0.3845 N, moment 0.0797 Nm, torque 0.6449 Nm, cone 0.3963 N, maximum constraint 7.926380, feasible false
evaluation 1840: speed 0.025000, force 0.2663 N, moment 0.0778 Nm, torque 0.6588 Nm, cone 0.0947 N, maximum constraint 4.325352, feasible false
