valid report 2020: speed 0.025222, force 0.045619 N, moment 0.015230 Nm, torque 1.269640 Nm, maximum inequality 23.047641, feasible false
valid report 2030: speed 0.025222, force 0.045602 N, moment 0.015244 Nm, torque 1.269624 Nm, maximum inequality 23.047641, feasible false
valid report 2040: speed 0.025222, force 0.045602 N, moment 0.015244 Nm, torque 1.269640 Nm, maximum inequality 23.047641, feasible false
valid report 2050: speed 0.025222, force 0.045588 N, moment 0.015240 Nm, torque 1.269640 Nm, maximum inequality 23.047641, feasible false
valid report 2060: speed 0.025223, force 0.047476 N, moment 0.015220 Nm, torque 1.270002 Nm, maximum inequality 22.312503, feasible false
valid report 2070: speed 0.025223, force 0.045588 N, moment 0.015231 Nm, torque 1.270023 Nm, maximum inequality 22.312503, feasible false
valid report 2080: speed 0.025223, force 0.045536 N, moment 0.015116 Nm, torque 1.270005 Nm, maximum inequality 22.312503, feasible false
valid report 2090: speed 0.025223, force 0.045702 N, moment 0.015214 Nm, torque 1.270348 Nm, maximum inequality 22.312503, feasible false
valid report 2100: speed 0.025223, force 0.046260 N, moment 0.015210 Nm, torque 1.270064 Nm, maximum inequality 22.312503, feasible false
valid report 2110: speed 0.025223, force 0.045518 N, moment 0.015228 Nm, torque 1.269994 Nm, maximum inequality 22.312503, feasible false
valid report 2120: speed 0.025223, force 0.045519 N, moment 0.015227 Nm, torque 1.270011 Nm, maximum inequality 22.312503, feasible false
valid report 2130: speed 0.025223, force 0.045560 N, moment 0.015208 Nm, torque 1.270011 Nm, maximum inequality 22.312503, feasible false
valid report 2140: speed 0.025223, force 0.045488 N, moment 0.015162 Nm, torque 1.270011 Nm, maximum inequality 22.312503, feasible false
valid report 2150: speed 0.025223, force 0.045103 N, moment 0.015090 Nm, torque 1.270002 Nm, maximum inequality 22.312503, feasible false
