smoothing 0.003 evaluation 5100: force 0.0024, moment 0.0002, torque Some(1.1311409302653133)
smoothing 0.003 evaluation 5120: force 0.0029, moment 0.0011, torque Some(1.131140016022641)
smoothing 0.003 evaluation 5140: force 0.0026, moment 0.0014, torque Some(1.1311407626409697)
smoothing 0.003 evaluation 5160: force 0.0013, moment 0.0004, torque Some(1.131140016022641)
smoothing 0.003 evaluation 5180: force 0.0012, moment 0.0002, torque Some(1.1311523644581452)
smoothing 0.003 evaluation 5200: force 0.0010, moment 0.0002, torque Some(1.131140016022641)
smoothing 0.003 evaluation 5220: force 0.0043, moment 0.0020, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5240: force 0.0064, moment 0.0017, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5260: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5280: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5300: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5320: force 0.0044, moment 0.0019, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5340: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5360: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5380: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5400: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5420: force 0.0063, moment 0.0017, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5440: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5460: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5480: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5500: force 0.0044, moment 0.0019, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5520: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5540: force 0.0045, moment 0.0016, torque Some(1.1169157505185718)
smoothing 0.003 evaluation 5560: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5580: force 0.0044, moment 0.0016, torque Some(1.1168149798570675)
smoothing 0.003 evaluation 5600: force 0.0044, moment 0.0016, torque Some(1.116918036784927)
smoothing 0.003 evaluation 5620: force 0.0044, moment 0.0016, torque Some(1.116915750560705)
smoothing 0.003 evaluation 5640: force 0.0301, moment 0.0101, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5660: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
