smoothing 0.003 evaluation 4720: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4740: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4760: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4780: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4800: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4820: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4840: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4860: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4880: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4900: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4920: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4940: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4960: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4980: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 5000: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 5020: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 5040: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 5060: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 5080: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 5100: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 5120: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 5140: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 5160: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 5180: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 5200: force 5.8599, moment 0.6805, torque Some(-0.019683315382023725)
smoothing 0.003 evaluation 5220: force 5.8599, moment 0.6805, torque Some(-0.01968199289921868)
smoothing 0.003 evaluation 5240: force 5.8599, moment 0.6805, torque Some(-0.019682876912348046)
smoothing 0.003 evaluation 5260: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5280: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5300: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5320: force 5.8598, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5340: force 5.8606, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5360: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5380: force 5.8598, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5400: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5420: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5440: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5460: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5480: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5500: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5520: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5540: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5560: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5580: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5600: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5620: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5640: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5660: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5680: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5700: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5720: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5740: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5760: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5780: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5800: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5820: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5840: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5860: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5880: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5900: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
smoothing 0.003 evaluation 5920: force 5.8599, moment 0.6805, torque Some(-0.019682695277503437)
