smoothing 0.003 evaluation 5320: force 0.7578, moment 0.2595, torque Some(-0.009280072009393979)
smoothing 0.003 evaluation 5340: force 0.7578, moment 0.2595, torque Some(-0.009280072009393979)
smoothing 0.003 evaluation 5360: force 0.7578, moment 0.2595, torque Some(-0.009280068070207224)
smoothing 0.003 evaluation 5380: force 0.7578, moment 0.2595, torque Some(-0.009280092429186891)
smoothing 0.003 evaluation 5400: force 0.7578, moment 0.2595, torque Some(-0.009280072009393979)
smoothing 0.003 evaluation 5420: force 0.7578, moment 0.2595, torque Some(-0.009280072009393979)
smoothing 0.003 evaluation 5440: force 0.7578, moment 0.2595, torque Some(-0.009280072009393979)
smoothing 0.003 evaluation 5460: force 0.7578, moment 0.2595, torque Some(-0.009280075074085008)
smoothing 0.003 evaluation 5480: force 0.7578, moment 0.2595, torque Some(-0.009280072009393979)
smoothing 0.003 evaluation 5500: force 0.7393, moment 0.2642, torque Some(-0.0003440883532281891)
smoothing 0.003 evaluation 5520: force 0.7393, moment 0.2642, torque Some(-0.0003440883532281891)
smoothing 0.003 evaluation 5540: force 0.7393, moment 0.2643, torque Some(-0.0003440883532281891)
smoothing 0.003 evaluation 5560: force 0.7393, moment 0.2642, torque Some(-0.0003440883532281891)
smoothing 0.003 evaluation 5580: force 0.7393, moment 0.2642, torque Some(-0.0003440883532281891)
smoothing 0.003 evaluation 5600: force 0.7393, moment 0.2642, torque Some(-0.0003440883532281891)
smoothing 0.003 evaluation 5620: force 0.7393, moment 0.2642, torque Some(-0.0003440883532281891)
smoothing 0.003 evaluation 5640: force 0.7393, moment 0.2642, torque Some(-0.00034365421692761355)
smoothing 0.003 evaluation 5660: force 0.7393, moment 0.2642, torque Some(-0.0003440883532281891)
smoothing 0.003 evaluation 5680: force 0.7393, moment 0.2642, torque Some(-0.0003442901616731442)
smoothing 0.003 evaluation 5700: force 0.7393, moment 0.2642, torque Some(-0.0003440883532281891)
smoothing 0.003 evaluation 5720: force 0.7393, moment 0.2642, torque Some(-0.00034413699471802506)
smoothing 0.003 evaluation 5740: force 0.7393, moment 0.2642, torque Some(-0.0003440883532281891)
smoothing 0.003 evaluation 5760: force 0.7391, moment 0.2643, torque Some(-0.0003437932098969698)
smoothing 0.003 evaluation 5780: force 0.7393, moment 0.2642, torque Some(-0.0003440883532281891)
smoothing 0.003 evaluation 5800: force 0.7173, moment 0.2570, torque Some(-0.0002981299576216845)
