evaluation 48000: force 0.12893430475588363, moment 0.06962434239904539, torque Some(0.28869316109780807)
evaluation 48200: force 0.12893430475588363, moment 0.0696244598363891, torque Some(0.28869316109780807)
evaluation 48400: force 0.12832429738192375, moment 0.06975958529567938, torque Some(0.2893888260676201)
evaluation 48600: force 0.12832429738192375, moment 0.06975958529567938, torque Some(0.2893888260676201)
evaluation 48800: force 0.12832429738192375, moment 0.06975958529567938, torque Some(0.2893888260676201)
evaluation 49000: force 0.12832429738192375, moment 0.06975958529567938, torque Some(0.2893888260676201)
evaluation 49200: force 0.12832429738192375, moment 0.06976000112682895, torque Some(0.2893888260676201)
evaluation 49400: force 0.12832429738192375, moment 0.06975958529567938, torque Some(0.2893888260676201)
evaluation 49600: force 0.12724339087178443, moment 0.07016660496138481, torque Some(0.29137141044907455)
evaluation 49800: force 0.12724339087178443, moment 0.07016660496138481, torque Some(0.29137141044907455)
evaluation 50000: force 0.12724339087178443, moment 0.07016660496138481, torque Some(0.29137141044907455)
evaluation 50200: force 0.12724339087178443, moment 0.07016660496138481, torque Some(0.29137141044907455)
evaluation 50400: force 0.12731282138451552, moment 0.07016482771710797, torque Some(0.29137141044907455)
evaluation 50600: force 0.12465685174680582, moment 0.07087774469354116, torque Some(0.29634759248561693)
evaluation 50800: force 0.12465685174680582, moment 0.07087774469354116, torque Some(0.29634760307454444)
evaluation 51000: force 0.12465685174680582, moment 0.07087774469354116, torque Some(0.29634759248561693)
evaluation 51200: force 0.12465685174680582, moment 0.07087774469354116, torque Some(0.29634759248561693)
evaluation 51400: force 0.12465685174680582, moment 0.07087774469354116, torque Some(0.29634759248561693)
evaluation 51600: force 0.12460628030684215, moment 0.07087774469354116, torque Some(0.29634759248561693)
evaluation 51800: force 0.12475345333430578, moment 0.0708625567863619, torque Some(0.29636635123753996)
evaluation 52000: force 0.12475345333430578, moment 0.0708625567863619, torque Some(0.29636635123753996)
evaluation 52200: force 0.12475345333430578, moment 0.0708625567863619, torque Some(0.29636635123753996)
evaluation 52400: force 0.12475345333430578, moment 0.0708625567863619, torque Some(0.29636635123753996)
evaluation 52600: force 0.12475345333430578, moment 0.07086333363387298, torque Some(0.29636635123753996)
evaluation 52800: force 0.12475345333430578, moment 0.0708625567863619, torque Some(0.29636635123753996)
evaluation 53000: force 0.12457984247194379, moment 0.0708822836431327, torque Some(0.29642149623721104)
evaluation 53200: force 0.12457984247194379, moment 0.0708822836431327, torque Some(0.29642149623721104)
evaluation 53400: force 0.12457984247194379, moment 0.0708822836431327, torque Some(0.29642149623721104)
evaluation 53600: force 0.12457984247194379, moment 0.0708822836431327, torque Some(0.29642149623721104)
evaluation 53800: force 0.12457984247194379, moment 0.07088186779850919, torque Some(0.29642149623721104)
evaluation 54000: force 0.12457984247194379, moment 0.0708822836431327, torque Some(0.29642149623721104)
evaluation 54200: force 0.1244228104701152, moment 0.07094294845955083, torque Some(0.29658244492270186)
evaluation 54400: force 0.1244228104701152, moment 0.07094294845955083, torque Some(0.29658244492270186)
evaluation 54600: force 0.1244228104701152, moment 0.07094294845955083, torque Some(0.29658244492270186)
evaluation 54800: force 0.1244228104701152, moment 0.07094294845955083, torque Some(0.29658244492270186)
evaluation 55000: force 0.1244228104701152, moment 0.07098260294583847, torque Some(0.29658244492270186)
evaluation 55200: force 0.12420483838938894, moment 0.07099938546640755, torque Some(0.29705026969888)
evaluation 55400: force 0.12420483838938894, moment 0.07099938546640755, torque Some(0.29705025911008576)
evaluation 55600: force 0.12420483838938894, moment 0.07099938546640755, torque Some(0.29705026969888)
evaluation 55800: force 0.12420483838938894, moment 0.07099938546640755, torque Some(0.29705026969888)
evaluation 56000: force 0.12420483838938894, moment 0.07099938546640755, torque Some(0.29705026969888)
evaluation 56200: force 0.1242554098652137, moment 0.07099938546640755, torque Some(0.29705026969888)
evaluation 56400: force 0.12352215303226774, moment 0.07115559426726964, torque Some(0.29835607991358515)
evaluation 56600: force 0.12352215303226774, moment 0.07115559426726964, torque Some(0.29835607991358515)
evaluation 56800: force 0.12352215303226774, moment 0.07115559426726964, torque Some(0.29835607991358515)
evaluation 57000: force 0.12352215303226774, moment 0.07115559426726964, torque Some(0.29835607991358515)
evaluation 57200: force 0.12352215303226774, moment 0.07116173760812372, torque Some(0.29835607991358515)
evaluation 57400: force 0.12352215303226774, moment 0.07115559426726964, torque Some(0.29835607991358515)
evaluation 57600: force 0.12155361562321375, moment 0.07148710343273805, torque Some(0.3017132092208666)
evaluation 57800: force 0.12155361562321375, moment 0.07148710343273805, torque Some(0.3017132092208666)
evaluation 58000: force 0.12155361562321375, moment 0.07148710343273805, torque Some(0.3017132092208666)
evaluation 58200: force 0.12155361562321375, moment 0.07148710343273805, torque Some(0.3017132092208666)
evaluation 58400: force 0.12155361562321375, moment 0.07127529396004893, torque Some(0.3017132092208666)
evaluation 58600: force 0.12155361562321375, moment 0.07148710343273805, torque Some(0.3017132092208666)
evaluation 58800: force 0.12082218806006131, moment 0.0714618256959424, torque Some(0.30271471475397305)
evaluation 59000: force 0.12082218806006131, moment 0.0714618256959424, torque Some(0.30271471475397305)
evaluation 59200: force 0.12082218806006131, moment 0.0714618256959424, torque Some(0.30271471475397305)
evaluation 59400: force 0.12082218806006131, moment 0.0714618256959424, torque Some(0.30271471475397305)
evaluation 59600: force 0.1212601005284028, moment 0.0714619380267648, torque Some(0.30271471475397305)
evaluation 59800: force 0.12074194567117431, moment 0.07145030714661413, torque Some(0.3028201803178863)
evaluation 60000: force 0.12074194567117431, moment 0.07145030714661413, torque Some(0.3028201802705156)
evaluation 60200: force 0.12074194567117431, moment 0.07145030714661413, torque Some(0.3028201803178863)
evaluation 60400: force 0.12074194567117431, moment 0.07145030714661413, torque Some(0.3028201803178863)
evaluation 60600: force 0.12074194567117431, moment 0.07145030714661413, torque Some(0.3028201803178863)
evaluation 60800: force 0.12074204500140369, moment 0.07145030714661413, torque Some(0.3028201803178863)
