smoothing 0.00001 evaluation 5080: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5100: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5120: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5140: force 0.2705, moment 0.1147, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5160: force 0.2705, moment 0.1146, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5180: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5200: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5220: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5240: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5260: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5280: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5300: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5320: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5340: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5360: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5380: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5400: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5420: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5440: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5460: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5480: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5500: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5520: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5540: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5560: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5580: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5600: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
