evaluation 56200: force 0.1364245869487106, moment 0.08280450352696847, torque Some(0.2686680078166095)
evaluation 56400: force 0.13653655718849206, moment 0.08263148651677638, torque Some(0.26879139694345466)
evaluation 56600: force 0.13653655718849206, moment 0.08263148651677638, torque Some(0.26879139694345466)
evaluation 56800: force 0.13653655718849206, moment 0.08263148651677638, torque Some(0.26879139694345466)
evaluation 57000: force 0.13653655718849206, moment 0.08263148651677638, torque Some(0.26879139694345466)
evaluation 57200: force 0.13653655718849206, moment 0.08262633641742717, torque Some(0.26879139694345466)
evaluation 57400: force 0.13653655718849206, moment 0.08263148651677638, torque Some(0.26879139694345466)
evaluation 57600: force 0.13645235855703328, moment 0.08232316001415772, torque Some(0.2691964820815731)
evaluation 57800: force 0.13645235855703328, moment 0.08232316001415772, torque Some(0.2691964820815731)
evaluation 58000: force 0.13645235855703328, moment 0.08232316001415772, torque Some(0.2691964820815731)
evaluation 58200: force 0.13645235855703328, moment 0.08232316001415772, torque Some(0.2691964820815731)
evaluation 58400: force 0.13645235855703328, moment 0.08230129027796985, torque Some(0.2691964820815731)
evaluation 58600: force 0.13645235855703328, moment 0.08232316001415772, torque Some(0.2691964820815731)
evaluation 58800: force 0.13626525564559028, moment 0.08205148893473947, torque Some(0.2695850463739587)
evaluation 59000: force 0.13626525564559028, moment 0.08205148893473947, torque Some(0.2695850463739587)
evaluation 59200: force 0.13626525564559028, moment 0.08205148893473947, torque Some(0.2695850463739587)
evaluation 59400: force 0.13626525564559028, moment 0.08205148893473947, torque Some(0.2695850463739587)
evaluation 59600: force 0.13582877426629633, moment 0.08205140222815142, torque Some(0.2695850463739587)
evaluation 59800: force 0.13621213920115474, moment 0.08196103745499282, torque Some(0.26969599434283215)
evaluation 60000: force 0.13621213920115474, moment 0.08196103745499282, torque Some(0.26969599439062153)
evaluation 60200: force 0.13621213920115474, moment 0.08196103745499282, torque Some(0.26969599434283215)
evaluation 60400: force 0.13621213920115474, moment 0.08196103745499282, torque Some(0.26969599434283215)
evaluation 60600: force 0.13621213920115474, moment 0.08196103745499282, torque Some(0.26969599434283215)
evaluation 60800: force 0.1362120398865502, moment 0.08196103745499282, torque Some(0.26969599434283215)
